                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3172,                 3.8284,                 1.5451,                0.48184,                 0.2351,                0.13761,                0.08389,                 1.3124,                 3.1844,                 1.5268,             0.00019435,             0.00019435,             0.00019435
                      1,                  1.312,                 3.2383,                 1.5164,                0.36043,                0.37067,                0.18204,                0.11318,                 1.3088,                 2.7407,                 1.4888,             0.00037747,             0.00037747,             0.00037747
                      2,                  1.309,                 2.9621,                 1.5523,                0.42651,                0.42407,                0.26744,                0.15594,                 1.3598,                 2.4925,                 1.5197,             0.00054765,             0.00054765,             0.00054765
                      3,                 1.3146,                 2.7832,                 1.5261,                0.49987,                0.31364,                 0.2817,                0.18082,                 1.3076,                 2.3393,                 1.4553,             0.00052979,             0.00052979,             0.00052979
                      4,                 1.2919,                 2.6368,                 1.4989,                0.57575,                0.35414,                0.31521,                0.19148,                 1.3396,                 2.3099,                 1.5259,             0.00052979,             0.00052979,             0.00052979
                      5,                 1.2816,                 2.5464,                 1.5037,                 0.5407,                0.36506,                0.30011,                0.18659,                 1.2677,                   2.24,                 1.4424,             0.00051038,             0.00051038,             0.00051038
                      6,                  1.266,                  2.447,                 1.4903,                0.52993,                0.42036,                0.35149,                0.22036,                 1.2683,                 2.1206,                 1.4441,             0.00049098,             0.00049098,             0.00049098
                      7,                 1.2782,                 2.3691,                  1.456,                0.61223,                0.35956,                0.36828,                0.22891,                 1.3093,                 2.0983,                 1.4669,             0.00047158,             0.00047158,             0.00047158
                      8,                 1.2582,                 2.3117,                 1.4697,                0.74464,                0.37737,                0.46216,                0.29716,                 1.2792,                 2.0156,                 1.4514,             0.00045217,             0.00045217,             0.00045217
                      9,                 1.1915,                 2.1508,                 1.4309,                 0.6743,                0.46287,                0.45841,                 0.2818,                 1.2737,                  2.057,                 1.4571,             0.00043277,             0.00043277,             0.00043277
                     10,                 1.1708,                 2.0711,                 1.3742,                0.66137,                0.50263,                0.49612,                 0.2936,                 1.3726,                 1.8305,                 1.4919,             0.00041336,             0.00041336,             0.00041336
                     11,                 1.1646,                 2.0342,                  1.382,                0.67576,                0.44218,                0.48813,                0.31923,                 1.2503,                 1.7512,                  1.404,             0.00039396,             0.00039396,             0.00039396
                     12,                 1.1806,                  2.007,                 1.3959,                0.74735,                0.44089,                 0.5064,                0.34075,                 1.1893,                 1.7264,                  1.355,             0.00037456,             0.00037456,             0.00037456
                     13,                 1.1396,                 1.9557,                 1.3557,                0.65436,                0.52085,                0.49299,                0.31731,                 1.2626,                 1.6664,                 1.3701,             0.00035515,             0.00035515,             0.00035515
                     14,                 1.1352,                 1.9357,                 1.3585,                0.77904,                0.46906,                0.50736,                0.33592,                  1.188,                 1.6276,                 1.3314,             0.00033575,             0.00033575,             0.00033575
                     15,                 1.0983,                 1.7728,                 1.3204,                0.71067,                0.52712,                0.52607,                 0.3458,                  1.223,                 1.5958,                 1.3589,             0.00031634,             0.00031634,             0.00031634
                     16,                 1.0982,                 1.7889,                 1.3417,                0.74444,                 0.4987,                0.52082,                0.34043,                 1.2096,                 1.6448,                 1.3457,             0.00029694,             0.00029694,             0.00029694
                     17,                 1.1012,                 1.7897,                 1.3346,                0.68807,                0.51498,                0.48349,                0.31941,                 1.1577,                 1.6127,                 1.3147,             0.00027754,             0.00027754,             0.00027754
